player_id;current_club_id;pretty_name;date_of_birth;position;sub_position;foot;height_in_cm;market_value_in_gbp;country_of_citizenship
15747;12438;Sergei Pareiko;1977-01-31;Goalkeeper;Goalkeeper;Right;193;;Estonia
88614;12438;Mikhail Komarov;1984-04-03;Goalkeeper;Goalkeeper;Right;194;;Russia
297029;12438;Aleksey Chubukin;1995-02-21;Defender;Defender - Centre-Back;Right;184;113000.0;Russia
26946;3008;Robert Koren;1980-09-20;Attack;midfield - Attacking Midfield;Right;176;;Slovenia
262723;964;Mikhail Mzhelskiy;1995-03-29;Goalkeeper;Goalkeeper;Right;202;;Russia
25001;12438;Denis Kolodin;1982-01-11;Defender;Defender - Centre-Back;Right;185;;Russia
159375;1435;Joeri Schroijen;1991-01-18;Attack;attack - Left Winger;Left;178;225000.0;Netherlands
191399;1435;Omar Kavak;1988-10-24;Attack;attack - Left Winger;;178;;Netherlands
229398;1435;Kevin Spanjaard;1992-07-23;Attack;midfield - Attacking Midfield;Right;187;;Netherlands
71084;1435;Joran Pot;1989-01-20;Midfield;midfield - Defensive Midfield;Right;177;;Netherlands
91330;3008;Conor Henderson;1991-09-08;Midfield;midfield - Defensive Midfield;Left;183;135000.0;Ireland
19712;964;Aleksandar Lukovic;1982-10-23;Defender;Defender - Centre-Back;Left;185;;Serbia
110879;1435;Patrick Ter Mate;1992-02-17;Goalkeeper;Goalkeeper;Right;185;;Netherlands
279467;1435;Tom Oostinjen;1991-09-16;Midfield;midfield - Defensive Midfield;Both;186;;Netherlands
49143;1063;Ken Fagerberg;1989-01-09;Attack;attack - Centre-Forward;Right;185;;Sweden
36262;1063;Wilton Figueiredo;1982-03-17;Attack;attack - Second Striker;Right;183;;Brazil
33931;1063;Ousmane Sarr;1986-08-02;Midfield;midfield - Left Midfield;Left;187;;Senegal
106628;12438;Dmitri Polyanin;1980-03-30;Defender;Defender - Right-Back;Right;176;;Russia
268214;1435;Joost Krijns;1993-05-08;Defender;Defender - Centre-Back;;0;;Netherlands
61912;1063;Andreas Hagen;1986-02-16;Midfield;midfield - Central Midfield;Right;186;;Norway
75871;1063;Markus Gustafsson;1989-03-06;Midfield;midfield - Central Midfield;Left;183;;Sweden
22473;1063;Simon Nagel;1985-07-05;Midfield;midfield - Central Midfield;Right;175;;Denmark
170606;964;Stepan Rebenko;1995-05-01;Defender;Defender - Centre-Back;Right;181;;Russia
255897;1063;Lasse Andersen;1995-05-24;Defender;Defender - Centre-Back;Left;0;45000.0;Denmark
103952;1063;Mike Grella;1987-01-23;Midfield;midfield - Left Midfield;Right;180;;United States
285065;12438;Kirill Zubkov;1994-07-24;Midfield;midfield - Defensive Midfield;Right;180;;Russia
57581;1063;Michal Peskovic;1982-02-08;Goalkeeper;Goalkeeper;Right;188;45000.0;Slovakia
253751;133;Alexander Christovao;1993-03-14;Attack;attack - Centre-Forward;Both;186;90000.0;Angola
202622;1063;Patrick Bang Nielsen;1988-10-10;Defender;Defender - Left-Back;Left;182;;Denmark
21515;133;Paul Mulders;1981-01-16;Attack;midfield - Attacking Midfield;Right;182;;Philippines
82555;1063;Tobias Perch Nielsen;1989-08-30;Attack;attack - Centre-Forward;Left;183;;Denmark
55627;133;Bart Van Brakel;1987-04-05;Midfield;midfield - Defensive Midfield;Right;170;;Netherlands
82926;133;Leon Broekhof;1988-05-14;Defender;Defender - Centre-Back;Left;190;;Netherlands
230495;1435;Michel Gerritsen Mulkes;1991-07-23;Defender;Defender - Centre-Back;;188;;Netherlands
59913;9007;Artem Stargorodskyi;1982-01-17;Midfield;midfield - Central Midfield;Right;179;;Ukraine
457583;9007;Dimitri Swisch;;Midfield;midfield;;0;;Germany
37301;9007;Veli Lampi;1984-07-18;Defender;Defender - Right-Back;Right;182;;Finland
45587;9007;Rafael Santos;1984-11-10;Defender;Defender - Centre-Back;Left;188;;Brazil
57900;9007;Vyacheslav Serdyuk;1985-01-28;Defender;Defender - Centre-Back;Left;184;;Ukraine
140561;9007;Michael Odibe;1988-06-23;Defender;Defender - Centre-Back;Right;189;113000.0;Nigeria
293106;9007;Georgi Kopaliani;1994-03-07;Goalkeeper;Goalkeeper;;192;;Ukraine
9779;9007;Vitaliy Reva;1974-11-19;Goalkeeper;Goalkeeper;Right;182;;Ukraine
48508;2700;Makhach Gadzhiev;1987-10-18;Midfield;midfield - Right Midfield;Both;181;;Russia
155050;2700;Sharif Mukhammad;1990-03-21;Midfield;midfield - Central Midfield;Right;184;158000.0;Afghanistan
255913;1063;Simon Vetter;1995-05-21;Attack;attack - Right Winger;;0;;Denmark
110326;2700;Jucilei;1988-04-06;Midfield;midfield - Defensive Midfield;Right;186;225000.0;Brazil
20232;2700;Benoit Angbwa;1982-01-01;Defender;Defender - Right-Back;Right;176;;Cameroon
285424;2700;Islam Suleymanov;1993-06-02;Defender;Defender - Left-Back;Left;173;;Russia
37247;2700;Vadim Demidov;1986-10-10;Defender;Defender - Centre-Back;Right;186;;Norway
297011;2227;Oleksiy Mosendz;1994-06-29;Attack;attack - Centre-Forward;Right;172;;Ukraine
144771;2700;Murad Qurbanov;1992-03-22;Defender;Defender - Right-Back;;0;;Russia
297009;2227;Oleg Kramarenko;1994-08-27;Attack;attack - Right Winger;Right;170;;Ukraine
297005;2227;Ivan Glyvyi;1994-08-04;Attack;attack - Right Winger;Right;180;;Ukraine
58950;2227;Volodymyr Korobka;1989-07-22;Attack;attack - Right Winger;Right;186;45000.0;Ukraine
4471;133;Robert Van Boxel;1983-01-20;Defender;Defender - Centre-Back;Right;188;;Netherlands
278515;133;Jeremy De Graaf;1990-01-25;Attack;attack - Centre-Forward;Left;183;;Netherlands
177010;2227;Sergey Melnik;1993-06-25;Attack;attack - Centre-Forward;Right;172;;Russia
24057;1063;Fredrik Stoor;1984-02-28;Defender;Defender - Right-Back;Right;184;;Sweden
59985;2227;Yevgen Santrapynskykh;1987-10-21;Midfield;midfield - Left Midfield;Both;174;;Ukraine
265930;2227;Maksim Prikhodnoy;1992-10-27;Midfield;midfield - Right Midfield;;182;;Russia
325801;2227;Oleksiy Tyshchenko;1994-07-21;Midfield;midfield - Defensive Midfield;Right;186;;Ukraine
177291;2227;Stanislav Prychynenko;1991-06-26;Midfield;midfield - Defensive Midfield;Right;182;68000.0;Russia
41362;2227;Gustav Svensson;1987-02-07;Midfield;midfield - Defensive Midfield;Right;184;270000.0;Sweden
100553;133;Johnny De Vries;1990-02-20;Midfield;midfield - Defensive Midfield;Right;179;;Netherlands
297007;2227;Dmytro Klochko;1994-01-01;Defender;Defender - Right-Back;;175;;Ukraine
257817;2227;Dmitri Matvienko;1992-05-25;Defender;Defender - Right-Back;Right;181;;Russia
42933;2227;Anis Boussaidi;1981-04-10;Defender;Defender - Right-Back;Right;180;;Tunisia
92575;2227;Yuriy Gabovda;1989-05-06;Defender;Defender - Right-Back;Right;181;270000.0;Ukraine
297002;2227;Izzet Bilyalov;1995-01-13;Attack;attack;;0;;Ukraine
39792;2227;Marin Ljubicic;1988-07-15;Midfield;midfield - Defensive Midfield;Right;186;203000.0;Croatia
184930;2227;Mohammed Aliyu;1993-02-12;Defender;Defender - Left-Back;Left;172;;Nigeria
297016;2227;Zoltan Szilvasi;1993-06-20;Defender;Defender - Centre-Back;Right;185;;Hungary
75109;2227;Celio Santos;1987-07-20;Defender;Defender - Centre-Back;Left;189;135000.0;Brazil
24011;2227;Boban Grncarov;1982-08-12;Defender;Defender - Centre-Back;Right;192;;North Macedonia
15067;2227;Maksym Kalynychenko;1979-01-26;Midfield;midfield - Left Midfield;Both;176;;Ukraine
297017;2227;Kostiantyn Sumelidi;1994-01-06;Defender;Defender;;0;;Ukraine
59984;6994;Taras Lazarovych;1982-04-22;Attack;attack - Right Winger;Right;175;;Ukraine
43276;6994;Junior;1978-09-20;Attack;midfield - Attacking Midfield;Left;184;;Brazil
59964;6994;Yevgen Pisotskyi;1987-04-22;Midfield;midfield - Right Midfield;Right;182;;Ukraine
69634;133;Oliver Feldballe;1990-04-03;Midfield;midfield - Left Midfield;Left;185;;Denmark
297015;2227;Roman Shpytsya;1995-01-10;Midfield;midfield;;176;;Ukraine
75631;6994;Milos Jokic;1987-06-07;Midfield;midfield - Central Midfield;Left;186;;Serbia
42803;6994;Milan Ilic;1987-05-12;Defender;Defender - Centre-Back;Right;192;23000.0;Serbia
57748;6994;Matheus Lopes;1985-03-08;Defender;Defender - Centre-Back;Left;190;;Brazil
29193;3302;Ruben Suarez;1979-02-19;Attack;attack - Second Striker;Left;168;;Spain
173559;3302;Cristobal Gil;1992-02-05;Attack;midfield - Attacking Midfield;Right;171;135000.0;Spain
251537;2700;Yuri Udunyan;1994-08-25;Midfield;midfield - Defensive Midfield;Right;173;248000.0;Russia
35546;3302;Rafita;1982-08-18;Defender;Defender - Right-Back;Right;175;;Spain
76743;3302;Marcelo Silva;1989-03-21;Defender;Defender - Centre-Back;Right;185;270000.0;Uruguay
72883;3302;Hans Martinez;1987-01-04;Defender;Defender - Centre-Back;Right;178;135000.0;Chile
48294;3302;Bolano;1985-10-15;Defender;Defender - Centre-Back;Left;182;90000.0;Spain
26801;3302;Hernan Pellerano;1984-06-04;Defender;Defender - Centre-Back;Right;183;135000.0;Argentina
298658;2227;Mykola Dudarenko;1995-01-31;Defender;Defender - Centre-Back;;180;;Ukraine
271446;3302;Kiutm;1995-01-04;Attack;attack;Both;166;90000.0;"Korea; South"
3755;3302;Oscar Ustari;1986-07-03;Goalkeeper;Goalkeeper;Right;183;900000.0;Argentina
179844;43;Callum Tapping;1993-06-05;Midfield;midfield - Central Midfield;Right;178;;Scotland
21750;2410;Mark Gonzalez;1984-07-10;Attack;attack - Left Winger;Left;176;;Chile
74561;3302;Victor Ibanez;1989-04-21;Goalkeeper;Goalkeeper;Right;191;158000.0;Spain
93118;43;David Smith;1993-03-01;Defender;Defender - Right-Back;Right;180;;Scotland
155893;2410;Armen Ambartsumyan;1994-04-11;Midfield;midfield - Central Midfield;Left;177;180000.0;Armenia
44072;3302;Marcos Tebar;1986-02-07;Midfield;midfield - Defensive Midfield;Right;185;;Spain
15591;2410;Elvir Rahimic;1976-04-04;Midfield;midfield - Defensive Midfield;Right;191;;Bosnia-Herzegovina
170607;2410;Sergey Revyakin;1995-04-02;Goalkeeper;Goalkeeper;Right;189;90000.0;Russia
22746;3691;Nikita Bazhenov;1985-02-01;Attack;attack - Centre-Forward;Right;179;45000.0;Russia
298659;2227;Vasyl Grinka;1992-12-06;Defender;Defender;;0;;Ukraine
26771;3691;Jan Holenda;1985-08-22;Attack;attack - Centre-Forward;Right;186;;Czech Republic
15645;3691;Maksim Astafjev;1982-12-08;Attack;attack - Right Winger;Right;171;;Russia
260595;3691;Sultan Aksanov;1993-08-19;Attack;midfield - Attacking Midfield;Right;176;;Russia
65682;3691;Valeri Sorokin;1985-01-06;Midfield;midfield - Right Midfield;Right;178;;Russia
46602;3691;Gabriel Muresan;1982-02-13;Midfield;midfield - Defensive Midfield;Right;188;;Romania
60323;6994;Anton Monakhov;1982-01-31;Defender;Defender - Centre-Back;Right;193;;Russia
98537;3691;Yuri Petrakov;1991-01-27;Midfield;midfield - Central Midfield;Right;178;;Russia
213692;2410;Maksim Martusevich;1995-03-07;Midfield;midfield - Central Midfield;Right;178;315000.0;Russia
218471;3691;Yaroslav Ovsyannikov;1993-05-14;Defender;Defender - Left-Back;Left;171;158000.0;Russia
25866;3691;Aleksandr Orekhov;1983-11-29;Defender;Defender - Centre-Back;Right;198;;Russia
27193;3691;Sergey Omeljanchuk;1980-08-08;Defender;Defender - Centre-Back;Right;178;;Belarus
6065;3691;Martin Jiranek;1979-05-25;Defender;Defender - Centre-Back;Right;190;;Czech Republic
25036;3691;Renat Sabitov;1985-06-13;Defender;Defender - Centre-Back;Right;186;;Russia
45220;3691;Plamen Nikolov;1985-06-12;Defender;Defender - Centre-Back;Both;191;9000.0;Bulgaria
74725;3691;Kornel Salata;1985-01-24;Defender;Defender - Centre-Back;Right;191;68000.0;Slovakia
15974;3302;Esteban;1975-06-27;Goalkeeper;Goalkeeper;Both;177;;Spain
293941;4750;Murilo;1995-03-08;Attack;attack - Centre-Forward;Right;180;315000.0;Brazil
25635;3691;Petr Vasek;1979-04-09;Goalkeeper;Goalkeeper;;190;;Czech Republic
98824;3691;Eugen Sidorenco;1989-03-19;Attack;attack - Centre-Forward;Right;180;135000.0;Moldova
160683;4750;Mirko Bigazzi;1989-04-03;Attack;attack - Right Winger;Both;183;;Italy
405720;4750;Diego Goncalves;1994-07-22;Attack;attack - Left Winger;Right;182;450000.0;Brazil
15260;3691;Zhivko Milanov;1984-07-15;Defender;Defender - Right-Back;Right;177;;Bulgaria
23340;4750;Rui Duarte;1978-09-16;Attack;midfield - Attacking Midfield;Right;175;;Portugal
51877;3691;Aleksey Aravin;1986-07-09;Defender;Defender - Right-Back;Right;185;;Russia
17328;4750;Paulo Sergio;1984-01-24;Attack;midfield - Attacking Midfield;Both;168;;Portugal
100089;4750;Paulo Regula;1989-12-03;Attack;midfield - Attacking Midfield;Right;184;;Portugal
45371;4750;Celestino;1987-01-02;Midfield;midfield - Defensive Midfield;Right;177;;Portugal
14515;4750;Luis Filipe;1979-06-14;Defender;Defender - Right-Back;Right;179;;Portugal
175664;4750;Gerson Fidalgo;1993-03-20;Midfield;midfield;Both;173;;Portugal
5967;4750;Anthony Seric;1979-01-15;Defender;Defender - Left-Back;Left;183;;Croatia
213048;4750;Tin Karamatic;1993-03-01;Defender;Defender - Centre-Back;Right;190;45000.0;Croatia
45617;4750;Joao Ribeiro;1987-08-13;Attack;attack - Left Winger;Right;176;;Portugal
96790;4750;Sebastian Mladen;1991-12-11;Defender;Defender - Centre-Back;Right;186;540000.0;Romania
95255;4750;Vitor Bastos;1990-05-01;Defender;Defender - Centre-Back;Right;190;;Portugal
92111;23;Orhan Ademi;1991-10-28;Attack;attack - Centre-Forward;Right;189;248000.0;Switzerland
13867;4750;Ricardo;1976-02-11;Goalkeeper;Goalkeeper;Right;185;;Portugal
53424;23;Bjorn Kluft;1990-01-11;Attack;attack - Second Striker;Both;180;;Germany
1659;23;Dennis Kruppke;1980-04-01;Attack;attack - Second Striker;Both;179;;Germany
109793;23;Raffael Korte;1990-08-29;Attack;attack - Right Winger;Both;175;;Germany
107872;23;Jonas Erwig Druppel;1991-07-20;Attack;attack - Right Winger;Right;172;;Germany
34232;23;Jan Hochscheidt;1987-10-04;Attack;midfield - Attacking Midfield;Both;180;270000.0;Germany
30391;2410;Rasmus Elm;1988-03-17;Midfield;midfield - Central Midfield;Right;184;;Sweden
109792;23;Gianluca Korte;1990-08-29;Midfield;midfield - Left Midfield;Left;177;180000.0;Germany
147049;23;Salim Khelifi;1994-01-26;Midfield;midfield - Right Midfield;Right;172;180000.0;Tunisia
18379;23;Damir Vrancic;1985-10-04;Midfield;midfield - Central Midfield;Both;184;;Bosnia-Herzegovina
42974;23;Kevin Kratz;1987-01-21;Midfield;midfield - Central Midfield;Right;173;;Germany
51106;23;Jan Washausen;1988-10-12;Midfield;midfield - Defensive Midfield;Right;185;;Germany
104990;4750;Jakub Vojtus;1993-10-22;Attack;attack - Right Winger;;186;225000.0;Slovakia
40116;23;Benjamin Kessel;1987-10-01;Defender;Defender - Right-Back;Right;191;;Germany
36255;23;Mirko Boland;1987-04-23;Attack;midfield - Attacking Midfield;Left;172;135000.0;Germany
42086;23;Timo Perthel;1989-02-11;Defender;Defender - Left-Back;Left;185;;Germany
292501;23;Mohammad Baghdadi;1996-10-30;Defender;Defender - Left-Back;Left;182;68000.0;Germany
31599;23;Norman Theuerkauf;1987-01-24;Defender;Defender - Left-Back;Left;183;270000.0;Germany
18290;23;Matthias Henn;1985-04-28;Defender;Defender - Centre-Back;Right;187;;Germany
12112;4750;Per Kroldrup;1979-07-31;Defender;Defender - Centre-Back;Right;194;;Denmark
6287;23;Marco Caligiuri;1984-04-14;Defender;Defender - Centre-Back;Right;180;;Germany
297006;2227;Grigori Kalyuzhny;1994-08-29;Attack;attack;;181;;Ukraine
2386;23;Marjan Petkovic;1979-05-22;Goalkeeper;Goalkeeper;Right;186;;Germany
225616;855;Paul Babiloni;1990-01-16;Defender;Defender - Left-Back;Right;180;;France
45264;855;Thierry Argelier;1986-07-08;Defender;Defender - Centre-Back;Right;183;;France
6274;855;Gregory Cerdan;1982-07-28;Defender;Defender - Centre-Back;Right;190;;France
1613;855;Vivian;1982-04-05;Defender;Defender - Centre-Back;;0;;Brazil
78390;23;Benjamin Later;1986-08-30;Goalkeeper;Goalkeeper;;0;;Germany
35405;23;Marc Pfitzner;1984-08-28;Midfield;midfield - Defensive Midfield;Right;183;;Germany
1944;23;Deniz Dogan;1979-10-20;Defender;Defender - Centre-Back;;0;;Turkey
140702;3691;Arbi Mezhiev;1993-06-29;Goalkeeper;Goalkeeper;Right;190;180000.0;Russia
308213;2292;Muhammed Akyildiz;1995-09-01;Attack;attack - Centre-Forward;Right;184;;Turkey
193680;20100;Nikolaj Hansen;1993-03-15;Attack;attack - Centre-Forward;Right;192;203000.0;Denmark
264770;2293;Ibrahim Alan;1994-05-15;Attack;attack - Centre-Forward;Right;0;135000.0;Turkey
242235;1210;Elia Bruzzi;1995-04-08;Attack;attack - Centre-Forward;;185;;Italy
110929;1210;Simone Dellagnello;1992-04-12;Attack;attack - Centre-Forward;Right;185;90000.0;Italy
197480;800;Doudou Mangni;1993-03-29;Attack;attack - Centre-Forward;Left;180;135000.0;Italy
34345;416;Ilyas Zeytulaev;1982-08-13;Attack;attack - Left Winger;Right;179;;Uzbekistan
136114;800;Simone Magnaghi;1993-10-12;Attack;attack - Centre-Forward;Right;188;360000.0;Italy
257127;252;Michael Ventre;1996-01-05;Attack;attack - Second Striker;Right;175;;Italy
159153;252;Daniel Jara;1993-12-22;Attack;attack - Centre-Forward;Right;183;;Paraguay
199795;252;William Lacerda;1992-01-05;Attack;attack - Right Winger;Right;181;;Brazil
31493;5817;Rubin Okotie;1987-06-06;Attack;attack - Centre-Forward;Both;188;;Austria
50628;5817;Florian Hart;1990-05-11;Midfield;midfield - Central Midfield;Right;178;;Austria
111042;4750;Jean Christophe Coubronne;1989-07-30;Defender;Defender - Right-Back;Right;180;135000.0;France
55597;23;Marcel Correia;1989-05-16;Defender;Defender - Centre-Back;Right;186;270000.0;Portugal
273949;141;Ibrahim Coskun;1995-03-03;Midfield;midfield - Central Midfield;Both;180;;Turkey
8399;141;Engin Baytar;1983-07-11;Midfield;midfield - Central Midfield;Both;176;;Turkey
163675;1210;Filippo Moscati;1992-09-19;Attack;attack - Centre-Forward;Both;181;180000.0;Italy
209864;410;Pape Dia;1993-04-20;Attack;attack - Left Winger;Left;183;;Senegal
240218;252;Tiberio Velocci;1995-07-23;Attack;attack - Second Striker;Right;178;;Italy
199793;252;Orlando Held;1994-03-03;Attack;attack - Centre-Forward;Right;0;;Italy
35252;19771;Ozgur Can Ozcan;1988-04-10;Attack;attack - Centre-Forward;Right;184;90000.0;Turkey
200119;19771;Gideon Sani;1990-06-08;Attack;attack - Left Winger;Right;180;;Nigeria
114139;19771;Erkan Taskiran;1985-04-22;Attack;attack - Left Winger;Left;183;45000.0;Turkey
265082;19771;Luciano Guaycochea;1992-04-24;Attack;midfield - Attacking Midfield;;178;270000.0;Argentina
86506;19771;Alessandro Riedle;1991-08-14;Midfield;midfield - Central Midfield;;179;;Germany
58861;19771;Emin Aladag;1983-02-25;Midfield;midfield - Defensive Midfield;Right;185;;Turkey
69445;19771;Ivan Sesar;1989-08-29;Midfield;midfield - Defensive Midfield;Right;182;135000.0;Bosnia-Herzegovina
163058;410;Fabinho;1991-04-28;Attack;attack - Left Winger;Left;178;;Brazil
208602;19771;Can Bartu Gunes;1993-03-10;Defender;Defender - Right-Back;Right;0;;Turkey
28283;19771;Emrah Eren;1978-11-13;Defender;Defender - Right-Back;Both;175;;Turkey
265092;19771;Ridvan Ozkan;1994-02-01;Defender;Defender - Right-Back;Right;0;;Turkey
238045;19771;Ahmet Cicek;1995-02-23;Defender;Defender - Left-Back;Left;0;;Turkey
197919;410;Ruben Dinca;1994-03-31;Attack;attack - Right Winger;Left;177;;Italy
159809;19771;Gokhan Dincer;1987-05-14;Defender;Defender - Left-Back;Left;0;;Turkey
159890;19771;Serkan Yalcin;1982-11-02;Defender;Defender - Centre-Back;Left;183;;Turkey
114739;19771;Oguzhan Azgar;1993-07-14;Defender;Defender - Centre-Back;Right;188;;Turkey
159789;19771;Hakan Ates;1988-05-13;Defender;Defender - Right-Back;Right;175;;Turkey
208599;19771;Alican Candemir;1993-02-08;Goalkeeper;Goalkeeper;Right;194;;Turkey
76438;19771;Mustafa Asan;1988-09-11;Midfield;midfield - Central Midfield;Right;170;;Turkey
60614;19771;Evren Ozyigit;1986-01-01;Goalkeeper;Goalkeeper;Right;187;;Turkey
54183;410;Maicosuel;1986-06-16;Attack;attack - Left Winger;Right;180;;Brazil
22169;5817;Kenneth Fabricius;1981-11-03;Attack;attack - Centre-Forward;Right;182;;Denmark
213952;410;Filippo Berra;1995-02-06;Defender;Defender - Right-Back;Right;184;450000.0;Italy
123638;410;Frano Mlinar;1992-03-30;Midfield;midfield - Defensive Midfield;Right;182;180000.0;Croatia
138394;410;Rosario Licata;1989-01-16;Defender;Defender - Left-Back;Left;184;;Italy
73408;410;Matias Campos Toro;1989-06-22;Defender;Defender - Left-Back;Left;176;;Chile
240409;410;Marco Frison;1995-03-24;Defender;Defender - Centre-Back;Right;183;45000.0;Italy
81192;410;Jean Alain Fanchone;1988-09-02;Defender;Defender - Left-Back;Left;175;;France
197918;410;Luca Corrado;1994-04-12;Defender;Defender - Centre-Back;Right;183;;Italy
85667;141;Serdar Eylik;1990-02-01;Attack;attack - Left Winger;Both;176;113000.0;Turkey
241069;410;Alessandro Favaro;1995-07-18;Goalkeeper;Goalkeeper;Right;189;;Italy
163088;410;Simone Sbardella;1993-04-17;Defender;Defender - Centre-Back;Right;180;68000.0;Italy
240397;410;Marco Bertoia;1995-05-24;Midfield;midfield - Central Midfield;;180;;Italy
22469;5817;Jonas Troest;1985-03-04;Defender;Defender - Centre-Back;Right;185;;Denmark
168477;410;Jefferson Oliveira;1990-02-25;Defender;Defender - Centre-Back;Right;193;135000.0;Brazil
288181;5817;Jorgen Simon Jorgensen;1995-05-07;Goalkeeper;Goalkeeper;;0;;Denmark
6046;252;Giuseppe Sculli;1981-03-23;Attack;attack - Left Winger;Right;178;;Italy
243819;252;Allan Blaze;1994-06-24;Midfield;midfield - Left Midfield;Left;180;158000.0;France
